行业领域,技术类型,工艺环节,技术名称,技术说明,时间基准,规模基准,技术成熟度,投资成本(元/个),固定成本(元/个),年化总成本(元/个),节电潜力(kwh/个),节煤潜力(GJ/个),减排潜力(tCO2/个/a),单位减排成本(元/吨CO2),运行寿命(y),投资成本(元/艘),固定成本(元/艘),年化总成本(元/艘),节电潜力(kwh/艘),节煤潜力(GJ/艘),减排潜力(tCO2/艘/a),投资成本(元/升),固定成本(元/升),年化总成本(元/升),节电潜力(kwh/升),节煤潜力(GJ/升),减排潜力(tCO2/升/a),投资成本(元/架),固定成本(元/架),年化总成本(元/架),节电潜力(kwh/架),节煤潜力(GJ/架),减排潜力(tCO2/架/a),投资成本(元/米),固定成本(元/米),年化总成本(元/米),节电潜力(kwh/米),节煤潜力(GJ/米),减排潜力(tCO2/米),投资成本(元/吨),固定成本(元/吨),年化总成本(元/吨),节电潜力(kwh/吨),节煤潜力(GJ/吨),减排潜力(tCO2/吨),减排潜力(tCO2/吨/a),投资成本(元/辆),固定成本(元/辆),年化总成本(元/辆),节电潜力(kwh/辆),节煤潜力(GJ/辆),减排潜力(tCO2/辆/a),
交通,机改技术,水路运输,公路服务区热泵应用技术------可参与成本分析技术,技术说明：,2020,null,工业示范,15000000,null,1086897.74,null,null,800,1358.62,50,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
交通,机改技术,水路运输,大功率拖轮油电混合动力系统------可参与成本分析技术,技术说明：,2020,null,工业示范,0,0,0,0,0,0,10868977.43,50,30000000000,null,2173795486.19,null,null,200,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
交通,机改技术,水路运输,港口能耗在线监测及动态分析优化技术------可参与成本分析技术,技术说明：,2020,null,工业示范,200000,null,18878.59,null,null,500,37.76,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
交通,机改技术,水路运输,电动集装箱船------可参与成本分析技术,技术说明：,2020,null,工业示范,0,0,0,0,0,0,9439.29,20,100000000,null,9439292.57,null,null,1000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
交通,机改技术,水路运输,航道整治工程全过程BIM技术应用------可参与成本分析技术,技术说明：,2020,null,工业示范,100000,null,14237.75,null,null,200,71.19,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
交通,机改技术,水路运输,船舶交流岸电技术------可参与成本分析技术,技术说明：,2020,null,商业应用,500000,null,47196.46,null,null,5,9439.29,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
交通,机改技术,航空运输,可持续航空燃料,技术说明：,2021,null,商业应用,0,0,0,0,0,0,null,null,0,0,0,0,0,0,10,null,null,null,null,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
交通,机改技术,航空运输,电动载人飞机------可参与成本分析技术,技术说明：,2020,null,中试阶段,0,0,0,0,0,0,9439.29,20,0,0,0,0,0,0,0,0,0,0,0,0,10000000,null,943929.26,null,null,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
交通,机改技术,道路运输,20m～60m-跨度钢管混凝土桁梁桥技术------可参与成本分析技术,技术说明：20m～60m 跨度钢管混凝土桁梁桥技术是利用钢管混凝土材料进 行中等跨径桥梁设计、制造和安装的建造技术。该技术利用钢管混凝土中钢管对混凝土的约束效应以及钢-混凝土材料的组合作用，解决了 传统中等跨径桥梁材强度低、延性差、安全储备不足、材料消耗多的问 题。其中，由于钢管的约束作用，钢管混凝土构件抗压承载能力提高约 2.2 倍、抗拉承载能力提高约 1.8 倍。同时，由于钢管混凝土为延性材 料，延性至少提高 1.7 倍。采用相同材料，桥梁安全系数可以提高 3.74 倍。采用该技术可节约材料和降低能源消耗，实现桥梁低碳建造。,2022,两座桥全长共计 4670m,商业应用,0,0,0,0,0,0,22579.68,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,117434.689,4697.38756,130352.5,null,null,5.773,0,0,0,0,0,0,0,0,0,0,0,0,0,
交通,机改技术,道路运输,公路隧道照明节能关键技术------可参与成本分析技术,技术说明：,2020,null,工业示范,500,null,121.95,null,null,7,17.42,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
交通,机改技术,道路运输,基于机械发泡温拌沥青的道路施工技术------可参与成本分析技术,技术说明：,2022,温拌沥青混合料约 20 万 t,商业应用,0,0,0,0,0,0,1587.76,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.5,0.14,3.89,null,null,0.00245,0,0,0,0,0,0,0,
交通,机改技术,道路运输,大比例掺量废旧沥青混合料再生技术------可参与成本分析技术,技术说明：,2020,null,工业示范,0,0,0,0,0,0,1086.9,50,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3000,null,217.38,null,null,0,0.2,0,0,0,0,0,0,
交通,机改技术,道路运输,太阳能汽车------可参与成本分析技术,技术说明：,2020,null,中试阶段,0,0,0,0,0,0,57207.01,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2000000,null,171621.03,null,null,3,
交通,机改技术,道路运输,快速公交系统(BRT)------可参与成本分析技术,技术说明：,2020,null,商业应用,5000000000,null,362299247.7,null,null,13000,27869.17,50,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
交通,机改技术,道路运输,氢燃料发动机------可参与成本分析技术,技术说明：,2022,null,工业示范,500000,null,42905.26,null,null,2,21452.63,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
交通,机改技术,道路运输,氢燃料电池------可参与成本分析技术,技术说明：,2022,null,工业示范,200000,null,17162.1,null,null,3,5720.7,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
交通,机改技术,道路运输,混合动力汽车------可参与成本分析技术,技术说明：,2020,null,商业应用,0,0,0,0,0,0,25743.16,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,300000,null,25743.16,null,null,1,
交通,机改技术,道路运输,电动火车------可参与成本分析技术,技术说明：,2020,null,中试阶段,0,0,0,0,0,0,7245.98,50,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,500000000,null,36229924.77,null,null,5000,
