行业领域,技术类型,工艺环节,技术名称,技术说明,时间基准,规模基准,技术成熟度,投资成本(元/m2),固定成本(元/m2),年化总成本(元/m2),节电潜力(kwh/m2),节煤潜力(GJ/m2),减排潜力(tCO2/m2),单位减排成本(元/吨CO2),运行寿命(y),投资成本(元/m3),固定成本(元/m3),年化总成本(元/m3),节电潜力(kwh/m3),节煤潜力(GJ/m3),减排潜力(tCO2/m3),投资成本(元/台),固定成本(元/台),年化总成本(元/台),节电潜力(kwh/台),节煤潜力(GJ/台),减排潜力(tCO2/台),投资成本(元/吨),固定成本(元/吨),年化总成本(元/吨),节电潜力(kwh/吨),节煤潜力(GJ/吨),减排潜力(tCO2/吨),投资成本(元/匹),节电潜力(kwh/匹),节煤潜力(GJ/匹),减排潜力(tCO2/匹),
建筑,机改技术,供热技术,分布式多能互补智慧储能式节能技术研究报告------可参与成本分析技术,技术说明：分布式多能互补智慧储能式制热节能技术以三端（分布智慧复合源端、节能末端、智 慧云端）为核心，综合了物联网技术、互联网技术、人工智能技术、复合闭环四反馈技术， 三端协调联动、集中调度、相互呼应，最大限度发挥系统优势和节能效果，实现精准供热 （冷）。,2019,309000m2,商业应用,115.11,4.6,17.24,0,0.032,0.0032,5387.5,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
建筑,机改技术,供热技术,基于一体化冷凝燃气锅炉的非线性闭环智能供热技术------可参与成本分析技术,技术说明：新型燃气锅炉将锅炉与冷凝回收装置集于一体，减少了冷凝回收装置二次换热造成的能量损失。同时，采用智能化供热控制技术，使供热系统热量得到精准投放，实现了高效高质供热。,2019,800000m2,商业应用,27.5,1.1,4.12,9.52,0,0.0055,749.09,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
建筑,机改技术,供热技术,基于新型一体式低氮燃烧冷凝燃气锅炉的智能供热控制技术------可参与成本分析技术,技术说明：新型燃气锅炉将锅炉与冷凝回收装置集于一体，减少了冷凝回收装置二次换热造成的能量损失，极大回收烟气中的显热和潜热。锅炉采用特殊换热结构，使得烟气在换热过程中产生旋转、分流和汇合、收缩和膨胀，从而打破对流换热边界层及层流边界层，提高了换热效率；且由于烟气对换热面形成有效的冲刷，可使换热面持久洁净。此外，采用大炉膛尺寸设计，确保了在不牺牲效率的前提下降低热力型氮氧化物的产生。同时，以锅炉技术为核心，结合智能化供热控制技术，基于对供热系统负荷、三级管网供热平衡、实时室温、历史气象及实时用热需求的大数据分析，提出最优的供热策略。并采用智能化供热阀控技术，实现对换热站、管网、楼宇热负荷的自动调节，最终实现对整个供热系统热量的精准投放，实现高效高质供热。,2022,供暖面积 80 万平方米,商业应用,35.475,1.419,5.31,null,null,0.00554,958.48,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
建筑,机改技术,供热技术,基于物联网控制的储能式多能互补高效清洁供热技术------可参与成本分析技术,技术说明：该技术是一种以太阳能为主热源，以热泵为辅助热源，耦合储热 装置，适用于各类地区供暖系统的供热技术。该技术通过高效抗冻真 空聚能太阳能集热器把太阳能转换成热能并储存在储能装置内，采用 智能控制、远程控制、远程诊断等物联网技术，将热能通过管网输送到 用热末端，可供冬季采暖、夏季制冷、全年生活用热水。此外，该技术通过工艺技术集成和生产过程优化，降低了用电成本，综合能效比 （COP）最高可达12.77，具有良好的经济和社会效益。,2022,2100m2建筑面积供暖,商业应用,550,22,69.2,null,null,0.128,540.63,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
建筑,机改技术,供热技术,基于真空管换热储能式热泵供热技术------可参与成本分析技术,技术说明：该技术集相变蓄能技术、空气式太阳能集热技术和热泵技术于一 体。太阳能集热器吸收太阳辐射热，并通过其内置的高效蓄能核芯直 接原位贮存，可以在晚间利用白天积蓄的热量；蓄能核芯作为热源经 空气与热泵机组实现换热，由于冷/热源温差变小，能大幅提高热泵供热系数。当太阳能不足时，热泵主机引入室外空气，开启双级复叠增功 功能，确保不同工况高效供暖。同时，该技术产品可在夏季作为空调进 行制冷，进一步提高项目的经济性。,2022,5500m2建筑面积供暖,商业应用,108.59,4.3436,13.66,null,null,0.123,111.06,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
建筑,机改技术,保温技术,基于碱土金属复合盐类的绝热（保温隔热）涂料技术------可参与成本分析技术,技术说明：该技术采用碱土金属复合盐类材料作为填料添加到涂料里，使产品具有远红外辐射率大的特点，可在特定环境温度-60℃～70℃区间内、能量主要辐射波段 8～14μm 进行辐射换热，可大幅降低建筑物墙体的热流密度，减少热传递，从而达到保温隔热的作用。,2022,25万m2,商业应用,180,null,16.99,null,null,0.01701,998.82,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
建筑,机改技术,保温技术,多腔孔陶瓷复合保温绝热材料------可参与成本分析技术,技术说明：多腔孔陶瓷复合保温绝热材料采用中空陶瓷玻化微珠、反辐射纳米配方、纤维等复合而成。将一定配比的原料经化料、搅拌、均化、陈化、布料成型、干燥、自动化收卷等先进制备工艺，形成具有硬质可卷曲、多级微纳米孔、蜂巢状结构等特点的新一代保温绝热材料。该材料在热面温度为200℃时，材料导热系数小于0.041W/（m·K），能耐高温1000℃。与传统纤维状保温材料相比，相同保温效果保温厚度减薄1/3~1/2，保温性增加1倍左右，绝热保温效果显著。,2022,1140m3(注意该词条为使用成本而非生产成本),商业应用,0,0,0,0,0,0,161.27,30,1578.9473684211,0,127.24,null,null,0.789,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
建筑,机改技术,保温技术,陶瓷原料干法制粉技术------可参与成本分析技术,技术说明：传统陶瓷湿法制粉一般采用“球磨、喷雾塔”进行的“干→湿→干”操作工艺，具有高能耗、高物耗、高排放等特点。而干法制粉技术采用“预破碎机、立磨机”的“干→干”操作工艺，取消了造粒喷雾塔环节，直接节约用水 70%以上，有效降低蒸发水消耗的电量、燃料以及生产过中的二氧化碳和污染物排放。同时，采用干法制粉成套装备，使生产工艺简单连续，其中主要设备采用集中式工业控制器，可精确控制陶瓷原料的加工参数，提升了原料的供给质量，从而实现陶瓷生产的高效节能。,2022,7400m2/d 干法制粉釉面砖生产线,商业应用,15.76,0.6304,2.36,null,null,0.00202,1168.32,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
建筑,机改技术,公共建筑,商业建筑中的太阳能热水器------可参与成本分析技术,技术说明：,2020,null,商业应用,0,0,0,0,0,0,1509.45,15,0,0,0,0,0,0,4615.18,184.6072,691.33,789,0,0.458,0,0,0,0,0,0,0,0,0,0,
建筑,机改技术,公共建筑,地源热泵------可参与成本分析技术,技术说明：,2020,null,商业应用,269.54,10.7816,40.38,9.3,0,0.0054,7477.78,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
建筑,机改技术,公共建筑,数据中心蒸发空调------可参与成本分析技术,技术说明：,2020,null,商业应用,99.8,3.992,14.95,689,0,0.4003,37.35,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
建筑,机改技术,公共建筑,温湿度分离控制系统------可参与成本分析技术,技术说明：,2020,null,商业应用,78.19,3.1276,11.71,12,0,0.00697,1680.06,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
建筑,机改技术,公共建筑,电能计量系统（EMS）------可参与成本分析技术,技术说明：,2020,null,商业应用,15.89,0.6356,2.38,4.9,0,0.00285,835.09,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
建筑,机改技术,公共建筑,绿色建筑（利用自然通风和采光）------可参与成本分析技术,技术说明：,2020,null,商业应用,279.71,11.1884,41.9,7.5,0,0.00436,9610.09,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
建筑,机改技术,公共建筑,高效暖通空调系统改造------可参与成本分析技术,技术说明：,2020,null,商业应用,25.11,1.0044,3.76,12.9,0,0.00749,502,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
建筑,机改技术,其他,全氧燃烧玻璃窑炉工艺及产业化技术------可参与成本分析技术,技术说明：该技术主要利用高纯度氧气代替空气与燃料进行充分燃烧，将混合均匀的粉料加热至高温熔解，再通过玻璃液的均化、澄清、冷却及温度调节等过程，形成成分均匀、缺陷较少、符合成形温度要求的玻璃液。与蓄热式空气燃烧窑炉相比，由于使用纯氧，空气中约 79%的氮气不再参与燃烧，可大幅减少烟气量和粉尘及排烟热损失，同时减少NOx 排放。同时，使燃料燃烧更完全，比空气助燃黑度大，辐射能力强，火焰辐射玻璃液温度可提高 100℃左右，配合料熔融速度加快，可使熔化率提高 20％左右，从而实现节能减碳。,2022,780t/d全氧光伏玻璃燃烧 窑炉,商业应用,0,0,0,0,0,0,5491.75,15,0,0,0,0,0,0,0,0,0,0,0,0,2932.95,117.318,439.34,0,null,0.08,0,0,0,0,
建筑,机改技术,其他,基于-BIM-的钢筋工程智能制造节能技术研究报告------可参与成本分析技术,技术说明：通过 Planbar 钢筋建模及创建参数化智能构件的方式，创建LOD400 精度的钢筋 BIM 模型，并输出钢筋下料单及带有钢筋信息的 BVBS 数据文件。通过 BVBS 数据文件将钢筋加工数据传递至 MES 系统，通过智能套料技术完成 钢筋配筋，最终生成供设备获取的钢筋加工任务。MES 系统与智能钢筋加工机器人通过无线网络连接，智能钢筋加工机器人能够从 MES 系统中获取钢筋加工数据进行钢筋加工，加工完成后将加工数据上传至 MES 系统中进行可视化统计分析。通过 BIM 技术与智能钢筋 加工机器人的信息交互，最终实现钢筋加工数字化、智能化管理。,2019,10000吨,商业应用,0,0,0,0,0,0,24103.45,15,0,0,0,0,0,0,0,0,0,0,0,0,140,5.6,20.97,1.5,0,0.00087,0,0,0,0,
建筑,机改技术,农村居住建筑,太阳能地面供暖系统------可参与成本分析技术,技术说明：,2020,null,商业应用,260,10.4,38.95,0,0.1084359,0.00968,4023.76,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
建筑,机改技术,农村居住建筑,太阳能热水器------可参与成本分析技术,技术说明：,2020,null,商业应用,0,0,0,0,0,0,207.17,15,0,0,0,0,0,0,156.3,6.252,23.41,195,0,0.113,0,0,0,0,0,0,0,0,0,0,
建筑,机改技术,农村居住建筑,建筑围护结构改造------可参与成本分析技术,技术说明：,2020,null,商业应用,122.05,4.882,18.28,0,0.1289508,0.0115,1589.57,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
建筑,机改技术,农村居住建筑,户用沼气池------可参与成本分析技术,技术说明：,2020,null,商业应用,0,0,0,0,0,0,477.1,15,0,0,0,0,0,0,2500.21,100.0084,374.52,0,8.7921,0.785,0,0,0,0,0,0,0,0,0,0,
建筑,机改技术,农村居住建筑,节能吊炕------可参与成本分析技术,技术说明：,2020,null,商业应用,0,0,0,0,0,0,8.33,15,0,0,0,0,0,0,121.1,4.844,18.14,0,24.383424,2.177,0,0,0,0,0,0,0,0,0,0,
建筑,机改技术,农村居住建筑,被动式太阳房------可参与成本分析技术,技术说明：,2020,null,商业应用,87.41,3.4964,13.09,0,0.087921,0.00785,1667.52,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
建筑,机改技术,农村居住建筑,高效土暖气------可参与成本分析技术,技术说明：,2020,null,商业应用,0,0,0,0,0,0,51.53,15,0,0,0,0,0,0,179.9,7.196,26.95,0,5.8614,0.523,0,0,0,0,0,0,0,0,0,0,
建筑,机改技术,农村居住建筑,高效节能灶------可参与成本分析技术,技术说明：,2020,null,商业应用,0,0,0,0,0,0,191.17,15,0,0,0,0,0,0,500.3,20.012,74.94,0,4.39605,0.392,0,0,0,0,0,0,0,0,0,0,
建筑,机改技术,制冷技术,氟替代节能改造技术------可参与成本分析技术,技术说明：在保证室内制冷要求完全不作改变情况下，对场所的房屋结构、配电系统、通风系统实现空调的节能，即使空调系统长时间运转，也可以让空调更轻松。采用钤钫天然冷媒取代空调系统里的传统氟利昂，经改造，综合节电率高达 10%~40%，既节能又环保，完全满足国家对于节能环保的要求。,2021,167匹,商业应用,0,0,0,0,0,0,242.47,15,0,0,0,0,0,0,0,0,0,0,0,0,0,70.9,265.51,0,0,0,1772.45,1886.23,0,1.095,
建筑,机改技术,制冷技术,永磁同步变频变容螺杆式制冷机技术------可参与成本分析技术,技术说明：1、采用永磁同步变频电机，无励磁损失，额定效率达97.5%，全工况效率在95%以上。 2、压比与负荷独立调节，协同控制。通过转速调节负荷，滑阀连续调节压比，实现压比、负荷与实际工况需求高度匹配，无过压缩或欠压缩，有效提升全工况压缩机效率。,2021,15000m2,商业应用,200,8,29.96,730.12,0,0.42,71.33,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
建筑,机改技术,制冷技术,永磁同步变频直驱离心式制冷机技术------可参与成本分析技术,技术说明：（1）高速电机直驱双级叶轮：采用高速电机直接驱动双级叶轮做功，取消传统离心机必须的齿轮增速结构，压缩机机械损失降低70%，尺寸、重量同比降低60%，消除齿轮高频啮合噪音，降低了压缩机噪声。 （2）大功率永磁同步电机及其驱动系统采用大功率永磁同步电机及其四象限驱动系统。电机为永磁体，无励磁损失，效率最高可达98.2%，且在全工况范围内保持95%以上不衰减，功率最高达1800kW。采用四象限变频驱动，功率因数达 99.9%，IGBT 整流，电压、电流总谐波畸变率<5%。 （3）全工况"宽频"气动设计技术：针对不同转速进行全工况的"宽频"设计，改变传统以额定工况为设计点的方法，并研制了适合全工况特性的“全自由曲面” 叶轮与低稠度叶片扩压器，辅以双级压缩中间补气的制冷循环技术，实现了压缩机全工况下高效运行。,2021,15400m2,商业应用,66.75,2.67,10,3684.54,0,2.14,4.67,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
建筑,机改技术,北方城镇供暖,区域燃气锅炉替代燃煤锅炉------可参与成本分析技术,技术说明：,2020,null,商业应用,4.5,0.18,0.67,0,0.205149,0.0183,36.61,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
建筑,机改技术,北方城镇供暖,城镇住宅围护结构改造------可参与成本分析技术,技术说明：,2020,null,商业应用,140.17,5.6068,21,0,0.3106542,0.0278,755.4,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
建筑,机改技术,北方城镇供暖,新建住宅实行近零能耗建筑技术标准------可参与成本分析技术,技术说明：,2020,null,商业应用,64.84,2.5936,9.71,0,0.087921,0.00785,1236.94,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
建筑,机改技术,北方城镇供暖,新建住宅建筑热计量系统安装------可参与成本分析技术,技术说明：,2020,null,商业应用,31.15,1.246,4.67,39,0,0.0226,206.64,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
建筑,机改技术,北方城镇供暖,热计量系统改造------可参与成本分析技术,技术说明：,2020,null,商业应用,270.17,10.8068,40.47,39,0,0.0226,1790.71,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
建筑,机改技术,北方城镇供暖,高效热电联产系统------可参与成本分析技术,技术说明：,2020,null,商业应用,43.23,1.7292,6.48,0,0.146535,0.0131,494.66,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
建筑,机改技术,城镇居住建筑,住宅太阳能热水器------可参与成本分析技术,技术说明：,2020,null,商业应用,0,0,0,0,0,0,1014.4,15,0,0,0,0,0,0,3000,120,449.38,762,0,0.443,0,0,0,0,0,0,0,0,0,0,
建筑,机改技术,城镇居住建筑,高效LED电视（一级）------可参与成本分析技术,技术说明：,2020,null,商业应用,0,0,0,0,0,0,4405.88,15,0,0,0,0,0,0,500,20,74.9,29.2,0,0.017,0,0,0,0,0,0,0,0,0,0,
建筑,机改技术,城镇居住建筑,高效冰箱（一级）------可参与成本分析技术,技术说明：,2020,null,商业应用,0,0,0,0,0,0,1042.09,15,0,0,0,0,0,0,800,32,119.84,197.7,0,0.115,0,0,0,0,0,0,0,0,0,0,
建筑,机改技术,城镇居住建筑,高效家用空调（一级）------可参与成本分析技术,技术说明：,2020,null,商业应用,0,0,0,0,0,0,10080.75,15,0,0,0,0,0,0,500,20,74.9,12.8,0,0.00743,0,0,0,0,0,0,0,0,0,0,
建筑,机改技术,城镇居住建筑,高效洗衣机（一级）------可参与成本分析技术,技术说明：,2020,null,商业应用,0,0,0,0,0,0,2297.55,15,0,0,0,0,0,0,500,20,74.9,56.2,0,0.0326,0,0,0,0,0,0,0,0,0,0,
建筑,机改技术,整体措施,智能化超高层建筑施工集成平台技术------可参与成本分析技术,技术说明：在建筑平台顶模轻质化设计的基础上，首次成功实现将动臂塔机等设备直接集成于建筑平台上，可使塔机随平台同步顶升，减少塔机独立爬升和顶模顶升的能耗以及塔机支撑系统制造、运输及反复安拆、提升的能耗，也减少了重复垂直运输作业的能耗；通过集成平台形成竖向多专业流水作业，充分利用设备资源提高作业效率，提高了能源利用率。同时，通过数字化控制系统，能够最大限度保证平台各支撑点顶升的平衡度，从而降低倾斜校正带来的额外能耗。,2022,中国尊 大厦大楼总建筑面积 43.7 万 m2。,商业应用,82.38,null,6.18,null,null,0.00609,1014.78,40,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
