行业领域,技术类型,工艺环节,技术名称,技术说明,时间基准,规模基准,技术成熟度,投资成本(元/吨-铝),固定成本(元/吨-铝),年化总成本(元/吨-铝),节电潜力(kwh/吨-铝),节煤潜力(GJ/吨-铝),减排潜力(tCO2/吨-铝),单位减排成本(元/吨CO2),运行寿命(y),投资成本(元/吨-氧化铝),固定成本(元/吨-氧化铝),年化总成本(元/吨-氧化铝),节电潜力(kwh/吨-氧化铝),节煤潜力(GJ/吨-氧化铝),减排潜力(tCO2/t-氧化铝),投资成本(元/吨-铜),固定成本(元/吨-铜),年化总成本(元/吨-铜),节电潜力(kwh/吨-铜),节煤潜力(GJ/吨-铜),减排潜力(tCO2/吨-铜),
有色金属,机改技术,整体措施,电机系统性能优化技术（Οptimized-motor-system-operation）------可参与成本分析技术,技术说明：,2016,null,商业应用,45.5,1.82,8.3,100,0,0.058,143.1,10,0,0,0,0,0,0,0,0,0,0,0,0,
有色金属,机改技术,氧化铝精炼,一段棒磨二段球磨-旋流分级技术（Closed-circuit-grinding-system-consisting-of-rod-mill,-ball-mill-and-hydrocyclone）------可参与成本分析技术,技术说明：,2016,null,商业应用,0,0,0,0,0,0,1935.06,20,110.87,4.4348,14.9,13.28,0,0.0077,0,0,0,0,0,0,
有色金属,机改技术,氧化铝精炼,先进拜耳工艺过程控制技术（Advanced-process-control-for-Bayer-process）--------可参与成本分析技术,技术说明：,2016,null,商业应用,0,0,0,0,0,0,57.9,10,19.7,0.788,3.59,14,0.6,0.062,0,0,0,0,0,0,
有色金属,机改技术,氧化铝精炼,大型高效充气机械搅拌式浮选机（Large-&-efficient-flotation-machine-with-pneumo-mechanical-type-）------可参与成本分析技术,技术说明：,2016,null,商业应用,0,0,0,0,0,0,141.67,5,0.6,0.024,0.17,2.092,0,0.0012,0,0,0,0,0,0,
有色金属,机改技术,氧化铝精炼,拜耳法生产氧化铝工艺（Sandy-alumina-produced-by-Bayer-process）------可参与成本分析技术,技术说明：,2016,null,商业应用,0,0,0,0,0,0,733.18,25,384.61,15.3844,48.39,113,0,0.066,0,0,0,0,0,0,
有色金属,机改技术,氧化铝精炼,旋风分离器性能优化技术（Optimized-cyclone-operation）------可参与成本分析技术,技术说明：,2016,null,商业应用,0,0,0,0,0,0,4.5,20,0.66,0.0264,0.09,3,0.2,0.02,0,0,0,0,0,0,
有色金属,机改技术,氧化铝精炼,选矿脱硅预富集技术-（Bayer-process-with-dressing-(pre-desiliconization)）------可参与成本分析技术,技术说明：,2016,null,商业应用,0,0,0,0,0,0,5922.99,25,409.58,16.3832,51.53,15,0,0.0087,0,0,0,0,0,0,
有色金属,机改技术,氧化铝精炼,铝酸钠溶液微扰动平推流晶种分解节能技术（Microperturbation-plug-flow-for-seeded-precipitation-in-sodium-aluminate-solutions）------可参与成本分析技术,技术说明：,2016,null,商业应用,0,0,0,0,0,0,1140,10,193.79,7.7516,35.34,53.5,0,0.031,0,0,0,0,0,0,
有色金属,机改技术,氧化铝精炼,高效无传动浮选技术（High-efficiency-driveless-flotation）------可参与成本分析技术,技术说明：,2016,null,商业应用,0,0,0,0,0,0,396.92,5,18.17,0.7268,5.16,22.5,0,0.013,0,0,0,0,0,0,
有色金属,机改技术,铜冶炼,旋浮铜冶炼节能减碳技术------可参与成本分析技术,技术说明：闪速冶炼反应机理为反应塔内氧气和物料颗粒间发生反应，以熔炼 为 例 ， 主 要 反 应 ： CuFeS2→FeS+Cu2S ； FeS+O2→FeO+SO2 ；FeO+O2→Fe3O4（过氧化反应）；Cu2S+O2→Cu2O+SO2（过氧化反应）。 闪速冶炼对物料的分散采取的是用水平方向的分布风打散垂直下落的物料，当投料量大时，易出现反应偏析、下生料、烟尘率高、炉况波动等问题。 旋浮冶炼除了具有同闪速冶炼相同的反应塔上部反应机理外，还独创了反应塔下部过氧化物料颗粒和次氧化物料颗粒间的碰撞反应机理。以熔炼为例，反应塔下部的主要反应：Fe3O+FeS→FeO+SO2；Cu2O+FeS→FeO+Cu2S；FeO+SiO2→Fe2OSiO4。旋浮冶炼采用“风内料外”的供料方式，对物料的分散模拟了自然界龙卷风高速旋转时具有极强扩散和卷吸能力的原理，物料颗粒呈倒龙卷风的旋流状态分布在反应塔中央，在龙卷风旋流体中间增加中央脉动氧气，改变物料颗粒的运动，实现物料颗粒间脉动碰撞、传热传质以及化学反应的强化，使整个熔炼和吹炼过程的化学反应能够更加充分地进行。,2022,15万吨阴极铜,商业应用,0,0,0,0,0,0,50.78,15,0,0,0,0,0,0,200,8,29.96,0,2.93,0.59,
