行业领域,技术类型,工艺环节,技术名称,技术说明,时间基准,规模基准,技术成熟度,投资成本(元/吨-熟料),固定成本(元/吨-熟料),年化总成本(元/吨-熟料),节电潜力(kwh/吨-熟料),节煤潜力(GJ/吨-熟料),减排潜力(tCO2/吨-熟料),单位减排成本(元/吨CO2),运行寿命(y),投资成本(元/吨-水泥),固定成本(元/吨-水泥),年化总成本(元/吨-水泥),节电潜力(kwh/吨-水泥),节煤潜力(GJ/吨-水泥),减排潜力(tCO2/吨-水泥),投资成本(元/吨-生活垃圾),固定成本(元/吨-生活垃圾),年化总成本(元/吨-生活垃圾),节电潜力(kwh/吨-生活垃圾),节煤潜力(GJ/吨-生活垃圾),减排潜力(tCO2/吨-生活垃圾),
水泥,机改技术,原料准备,原料辊磨变频风机（Variable-frequency-drive-in-raw-mill-vent-fan）------可参与成本分析技术,技术说明：,2016,null,商业应用,0.157,0.00628,0.03,0.33,0,0.000192,156.25,10,0,0,0,0,0,0,0,0,0,0,0,0,
水泥,机改技术,原料准备,生料运输斗式提升机（Bucket-elevators-for-raw-meal-transport）------可参与成本分析技术,技术说明：,2016,null,商业应用,1.496,0.0598,0.2,2.35,0,0.00136,147.06,20,0,0,0,0,0,0,0,0,0,0,0,0,
水泥,机改技术,原料准备,立磨过程控制技术（Process-control-for-vertical-mill）------可参与成本分析技术,技术说明：,2016,null,商业应用,11.734,0.469,1.58,1.41,0,0.000819,1929.18,20,0,0,0,0,0,0,0,0,0,0,0,0,
水泥,机改技术,原料准备,辊压机半终粉磨系统（水泥）------可参与成本分析技术,技术说明：,2016,,商业应用,38.71,1.55,5.8,12,0,0.007,828.57,15,0,0,0,0,0,0,0,0,0,0,0,0,
水泥,机改技术,原料准备,辊压机终粉磨系统（生料）------可参与成本分析技术,技术说明：,2016,,商业应用,38.71,1.55,5.8,10,0,0.0058,1000,15,0,0,0,0,0,0,0,0,0,0,0,0,
水泥,机改技术,原料准备,辊压机过程控制技术（Process-control-for-roller-press-）------可参与成本分析技术,技术说明：,2016,null,商业应用,133.245,5.33,17.91,10,0,0.00581,3082.62,20,0,0,0,0,0,0,0,0,0,0,0,0,
水泥,机改技术,原料准备,重力掺混均化料仓（Gravity-type-blending-silos）------可参与成本分析技术,技术说明：,2016,null,商业应用,46.778,1.871,5.89,2.7777777777778,0,0.00161,3658.39,25,0,0,0,0,0,0,0,0,0,0,0,0,
水泥,机改技术,原料准备,高效原料粉磨机分类器（High-efficiency-separator-for-raw-material-grinding）------可参与成本分析技术,技术说明：,2016,null,商业应用,22.444,0.898,3.02,5.08,0,0.00295,1023.73,20,0,0,0,0,0,0,0,0,0,0,0,0,
水泥,机改技术,原料准备,高效机械运输系统（Efficient-mechanical-transport-systems）------可参与成本分析技术,技术说明：,2016,null,商业应用,133.245,5.33,16.76,3.0555555555556,0,0.00178,9415.73,25,0,0,0,0,0,0,0,0,0,0,0,0,
水泥,机改技术,原料准备,高效辊磨机（High-efficiency-roller-mills）------可参与成本分析技术,技术说明：,2016,null,商业应用,32.0192,1.281,4.3,15,0,0.00871,493.69,20,0,0,0,0,0,0,0,0,0,0,0,0,
