行业领域,技术类型,工艺环节,技术名称,技术说明,时间基准,规模基准,技术成熟度,投资成本(元/MWh),固定成本(元/MWh),可变成本(元/MWh),年化总成本(元/MWh),排放因子(tCO2/MWh),单位减排成本(元/吨CO2),运行寿命(y),利用率(%),投资成本(元/吨),固定成本(元/吨),节电潜力(kwh/MWh),节煤潜力(GJ/MWh),减排潜力(tCO2/t),减排潜力(tCO2/MWh),投资成本(元/MW),
电力,生产工艺,传统工艺,燃煤发电1------可参与成本分析技术,技术说明：,2020,平均,商业应用,1515.3,97.3,145.7,356.66,0.83,null,40,45,0,0,0,0,0,0,0,
电力,生产工艺,传统工艺,燃煤发电2------可参与成本分析技术,技术说明：,2020,超超临界-347MW,商业应用,777.4,97.3,145.7,301.31,0.83,,40,45,0,0,0,0,0,0,0,
电力,生产工艺,光伏发电,光伏发电------可参与成本分析技术,技术说明：,2020,平均,商业应用,3116.4,52.1,0,319.52,0,-44.75,25,18,0,0,0,0,0,0,0,
电力,生产工艺,核能发电,核裂变发电------可参与成本分析技术,技术说明：,2020,平均,商业应用,2372.2,171.7,65,405.67,0,59.05,60,100,0,0,0,0,0,0,0,
电力,生产工艺,水力发电,水力发电------可参与成本分析技术,技术说明：,2020,平均,商业应用,2074.5,140.1,0,285.97,0,-85.17,80,47,0,0,0,0,0,0,0,
电力,生产工艺,燃气发电,燃气发电------可参与成本分析技术,技术说明：,2020,平均,商业应用,64,87.7,417.6,510.46,0.392,351.14,30,58,0,0,0,0,0,0,0,
电力,生产工艺,生物质能发电,生物质能发电------可参与成本分析技术,技术说明：,2014,平均,商业应用,2280.5,59,309.7,583.96,0,273.86,20,64,0,0,0,0,0,0,0,
电力,生产工艺,风电,海上风电------可参与成本分析技术,技术说明：,2020,平均,商业应用,4967.2,119.4,0,545.64,0,227.69,25,35,0,0,0,0,0,0,0,
电力,生产工艺,风电,陆上风电------可参与成本分析技术,技术说明：,2020,平均,商业应用,3464.6,85.7,0,383,0,31.73,25,26,0,0,0,0,0,0,0,
电力,机改技术,CCUS技术,碳捕集、利用与封存技术-超临界管道运输、EOR,技术说明：,2018,100万吨-CO2,工业示范,0,0,0,null,0,null,20,0,171-224,null,null,null,0.9238589338676,0,0,
电力,机改技术,余热/余压利用,中小型汽轮机节能技术------可参与成本分析技术,技术说明：,2020,12MW,商业应用,142.69,5.7076,0,21.37,0,47.49,15,0,0,0,0,4.61,0,0.45,0,
电力,机改技术,余热/余压利用,火电厂烟气综合优化系统余热深度回收技术------可参与成本分析技术,技术说明：,2020,600MW,商业应用,3.22,0.1288,0,0.48,0,141.18,15,0,0,0,0,0.035,0,0.0034,0,
电力,机改技术,余热/余压利用,脱硫岛烟气余热回收及风机运行优化技术------可参与成本分析技术,技术说明：,2020,2*1000MW,商业应用,3.97,0.1588,0,0.59,0,74.68,15,0,0,0,0.18,0.079,0,0.0079,0,
电力,机改技术,供热/热电联产,大型供热机组双背压双转子互换循环水供热技术------可参与成本分析技术,技术说明：,2020,135MW,商业应用,99.36,3.9744,0,14.88,0,62,15,0,0,0,0,2.41,0,0.24,0,
电力,机改技术,供热/热电联产,旋转电磁制热技术------可参与成本分析技术,技术说明：,2020,3*37KW,商业应用,450.45,18.018,0,67.47,0,1349.4,15,0,0,0,0,0.51,0,0.05,0,
电力,机改技术,供热/热电联产,燃煤锅炉智能调载趋零积灰趋零结露深度节能技术,技术说明：,2020,116MW,商业应用,16.85,0.674,0,2.52,0,null,15,0,0,0,0,0.2,0,0.019,0,
