行业领域,技术类型,工艺环节,技术名称,技术说明,时间基准,规模基准,技术成熟度,投资成本(元/吨-钢),固定成本(元/吨-钢),可变成本(元/吨-钢),年化总成本(元/吨-钢-钢),排放因子(tCO2/吨-钢),单位减排成本(元/吨CO2),运行寿命(y),利用率(%),年化总成本(元/吨-钢),节电潜力(kwh/吨-钢),节煤潜力(GJ/吨-钢),减排潜力(tCO2/吨-钢),投资成本(元/吨·公里),固定成本(元/吨·公里),年化总成本(元/吨·公里),节电潜力(kwh/吨),节煤潜力(GJ/吨),减排潜力(tCO2/t),年化总成本(元/吨-钢·公里),
钢铁,生产工艺,传统工艺,高炉-转炉炼钢------可参与成本分析技术,技术说明：,2020,平均,商业应用,4237.6,250,3000,3650,1.8,null,20,82,0,0,0,0,0,0,0,0,0,0,0,
钢铁,生产工艺,工艺结构调整,废铁-电弧炉炼钢------可参与成本分析技术,技术说明：,2020,平均,商业应用,2648.5,180,3400,3830,0.5,138.46,20,82,0,0,0,0,0,0,0,0,0,0,0,
钢铁,生产工艺,工艺结构调整,直接还原铁-电弧炉炼钢------可参与成本分析技术,技术说明：,2020,平均,商业应用,5720.8,310,3400,4250,1.2,1000,20,82,0,0,0,0,0,0,0,0,0,0,0,
钢铁,生产工艺,燃料替代,氢能直接还原铁-转炉炼钢------可参与成本分析技术,技术说明：,2020,平均,商业应用,5720.8,310,5109,5959,0.85,2430.53,20,82,0,0,0,0,0,0,0,0,0,0,0,
钢铁,生产工艺,燃料替代,氢能高炉-转炉炼钢------可参与成本分析技术,技术说明：,2020,平均,商业应用,4237.6,250,3692,4342,1.51,2386.21,20,82,0,0,0,0,0,0,0,0,0,0,0,
钢铁,机改技术,CCUS技术,二氧化碳化学吸收法捕集,技术说明：,2018,100万吨-CO2,工业示范,196.42,null,0,0,0,null,20,0,18.54,null,null,null,0,0,0,0,0,0,0,
钢铁,机改技术,CCUS技术,二氧化碳变压吸附法捕集,技术说明：,2018,100万吨-CO2,工业示范,225.01,null,0,0,0,null,20,0,21.24,null,null,null,0,0,0,0,0,0,0,
钢铁,机改技术,CCUS技术,二氧化碳气态管道输送-EOR,技术说明：,2018,100万吨-CO2,工业示范,0,0,0,0,0,null,20,0,0,0,0,0,5.17,0.78,1.27,null,null,null,0,
钢铁,机改技术,CCUS技术,二氧化碳液态管道输送-EOR,技术说明：,2018,100万吨-CO2,工业示范,0,0,0,0,0,null,20,0,0,0,0,0,2.85,0.78,1.05,null,null,null,0,
钢铁,机改技术,CCUS技术,二氧化碳深冷法捕集,技术说明：,2018,100万吨-CO2,工业示范,260.65,null,0,0,0,null,20,0,0,null,null,null,0,0,0,0,0,0,24.6,
钢铁,机改技术,CCUS技术,二氧化碳膜分离法捕集,技术说明：,2018,100万吨-CO2,工业示范,203.62,null,0,0,0,null,20,0,19.22,null,null,null,0,0,0,0,0,0,0,
钢铁,机改技术,CCUS技术,二氧化碳超临界态管道输送-EOR,技术说明：,2018,100万吨-CO2,工业示范,0,0,0,0,0,null,20,0,0,0,0,0,5.46,0.78,1.3,null,null,null,0,
钢铁,机改技术,CCUS技术,二氧化碳输送与封存,技术说明：,2022,100万吨-CO2,工业示范,0,0,112,0,0,null,25,0,112,null,null,null,0,0,0,0,0,0,0,
钢铁,机改技术,CCUS技术,碳捕集、利用与封存技术-化学吸收法、超临界管道运输（200km）、EOR,技术说明：,2018,100万吨-CO2,工业示范,254-307,null,0,0,0,null,20,0,null,null,null,null,0,0,0,0,0,0,0,
钢铁,机改技术,CCUS技术,碳捕集、利用与封存技术-胺吸收法、封存------可参与成本分析技术,技术说明：,2022,100万吨-CO2,工业示范,814.4,145.26,0,0,0,241.19,25,0,215.14,-142,0,0.892,0,0,0,0,0,0,0,
